sex,age,height,index,amount
0,50,186,470067,3748
0,6,44,53649,496381
0,96,162,172568,720591
1,93,266,489153,452905
0,46,220,493849,623594
1,54,294,108337,559747
1,5,134,309311,746575
0,43,108,186540,109357
0,91,202,432428,913935
0,83,130,210466,897936
0,48,250,908288,478352
1,47,288,693618,721759
1,93,258,429024,908469
1,85,13,822800,430833
1,80,41,875292,585876
0,19,147,996475,567083
0,81,152,370417,901127
0,59,66,553836,637964
1,42,39,967583,160771
0,76,165,642520,624349
0,65,100,432307,982393
1,100,214,954330,960215
1,74,237,88542,965820
0,49,159,573265,844568
1,36,100,253651,531543
0,56,102,66929,385149
0,66,20,506967,56537
0,42,163,93306,596885
0,74,100,528824,40579
1,93,52,678626,616296
1,6,181,253430,435497
1,35,272,304180,129894
1,74,260,853903,686119
0,37,75,168806,425125
1,98,209,925037,383017
1,69,229,295580,879844
1,43,253,545364,164500
0,90,36,409070,367891
0,83,283,69301,949035
1,25,161,938316,15373
1,22,1,581497,640967
0,55,125,787114,377112
1,53,275,545409,521388
1,93,111,900823,741804
1,21,13,709096,66358
0,45,80,835896,731766
0,78,298,918155,352999
0,35,112,313747,52390
1,1,283,204564,816952
0,89,68,292678,804763
0,94,264,424164,585203
1,86,94,849751,506795
1,19,294,390035,313101
0,26,130,643472,506174
1,54,270,72702,824319
1,18,184,253754,456698
1,13,6,887697,90963
0,17,111,795258,366535
0,79,226,710649,81357
1,49,49,181875,281724
1,89,279,61900,468480
1,20,234,48429,263806
0,95,178,934882,517313
0,84,294,12730,475359
0,32,48,51765,361215
1,7,171,810876,921389
0,8,101,828218,891597
0,29,230,294845,209252
1,100,7,475783,903750
0,6,25,736891,119558
1,79,29,960192,483980
0,66,165,624773,57458
0,67,300,397652,50651
0,99,111,100164,819310
0,48,107,997778,687985
0,5,182,890295,690744
1,19,110,858752,480172
0,80,271,823958,637335
0,61,160,678636,421441
1,88,48,360663,781788
0,50,89,156383,715894
0,88,64,576822,797382
0,97,265,909865,251590
1,53,132,120349,504323
1,2,34,984173,222195
0,95,3,652749,74739
1,20,206,625970,826773
0,97,290,766056,472024
0,9,259,583884,486510
1,24,21,428589,575952
0,81,8,821072,145981
0,55,113,777308,908184
1,79,298,149906,120566
0,12,146,494385,38925
1,7,205,811736,398792
0,31,293,768748,657364
0,54,241,767099,936650
1,47,80,769508,997991
1,0,156,814410,112926
1,76,235,156849,88430
1,7,83,344011,252926
1,7,255,211462,935099
1,62,65,94042,30842
1,16,288,912190,639700
0,57,55,57530,554713
0,81,191,530653,484743
1,56,266,276243,99040
0,6,249,274644,503128
1,55,1,811382,152031
0,87,39,963518,516612
0,77,27,561936,824648
0,93,153,476714,523030
0,10,85,169310,590132
1,70,56,895276,748449
1,32,15,601629,811282
1,47,174,784160,12394
0,33,174,29332,659513
0,82,202,446760,713625
0,87,39,960374,910557
0,31,164,489453,279029
1,75,166,858388,564024
0,30,144,929184,572225
1,61,25,146443,831645
0,49,199,986182,78816
0,48,190,83045,854850
1,18,123,170331,741981
1,47,267,919480,10688
1,77,230,284177,175640
0,63,186,806703,563032
0,32,298,51346,253274
0,7,208,930263,202809
0,18,164,284864,380218
1,92,163,198167,873747
0,86,128,114155,14252
1,66,14,79496,261982
1,61,77,961777,432069
0,39,161,77060,147735
1,59,174,605856,679133
0,21,79,815834,382192
0,58,233,102722,217914
0,89,156,205715,323179
0,94,270,962692,926705
1,6,215,560640,383253
1,11,275,696786,978008
1,47,230,341529,910331
1,61,132,353313,262074
1,96,34,516804,562867
1,37,245,822973,896947
1,37,79,259518,775238
1,30,183,405869,55297
1,50,87,750830,804417
1,90,212,316978,264326
0,89,47,979010,919480
0,57,37,142976,357516
0,47,133,889341,787769
0,64,282,631397,935206
0,43,96,813568,278053
1,11,299,764855,327036
1,42,248,746056,601496
1,59,24,455400,514935
1,18,235,554648,865509
0,95,52,248258,251755
0,12,0,693916,643417
1,7,43,824992,20081
0,16,137,28076,630784
0,67,216,941079,277948
0,50,15,415875,952679
1,79,64,750113,299844
1,98,117,520503,206953
1,66,232,891509,60996
1,21,24,526468,238136
1,20,67,978564,439035
1,1,102,934424,895456
1,5,70,404509,524706
1,0,210,482234,33925
1,87,140,947927,915129
0,71,176,610228,249942
1,84,261,889543,96990
1,56,180,175077,626794
1,16,119,390855,65952
0,62,35,204757,92077
0,28,187,769186,490170
1,3,290,652477,352218
0,95,55,869102,919495
1,22,243,407025,188065
0,94,70,503509,574297
0,12,0,799998,231185
1,24,300,186633,632938
1,38,123,381115,233361
0,55,76,343482,534724
0,89,161,510046,208115
0,83,185,654476,730144
1,22,9,343965,609519
0,100,84,944478,725329
0,28,249,184677,953326
0,52,257,380973,47405
0,20,208,729307,115668
1,51,44,232509,580348
0,20,139,217914,212898
1,36,37,679950,698348
1,28,205,246811,366976
1,11,30,625187,670069
1,12,249,598083,407031
1,47,204,422031,588611
1,80,289,178995,795610
0,64,80,856065,98742
1,49,55,372093,708565
1,58,21,57587,267261
1,20,275,993336,227074
0,2,76,867460,319880
0,62,219,877781,695260
1,94,64,471986,438153
1,9,15,601458,858750
0,65,41,107021,134344
1,99,216,682284,654936
1,58,152,93236,418864
0,0,187,2998,629225
0,89,239,232355,913834
0,16,67,76629,238072
1,90,0,578940,504603
0,71,245,337380,45067
1,62,10,821684,905790
0,15,294,677311,635162
1,92,209,790508,321659
0,7,201,944969,331198
1,84,226,445509,793526
1,24,278,267524,413187
1,23,162,964505,620410
0,12,88,759839,414515
0,97,290,426395,997216
0,1,35,344962,365553
1,70,20,660162,518564
1,92,164,8416,795034
0,50,130,765260,173004
0,86,115,342479,852207
0,8,184,663444,356118
0,2,178,190681,293486
1,17,24,822082,485260
1,37,167,784690,773977
1,80,175,902492,427174
1,33,64,725371,912181
1,37,64,468353,393360
1,53,245,647466,799189
1,94,62,779035,858627
1,91,91,616982,315744
0,38,73,257978,697732
0,51,276,576442,423418
0,70,63,170112,287719
0,52,166,757216,607709
1,84,284,360333,424997
0,56,170,554767,335398
1,81,72,787268,332529
1,29,239,564680,770948
1,4,171,146853,817633
1,52,289,163629,608721
0,36,67,485095,785720
0,83,5,18507,32277
0,99,200,860463,713095
1,98,204,442869,598750
0,35,113,43359,136675
0,14,146,680097,25744
0,50,264,109445,342507
0,7,272,930667,360093
1,57,278,2601,363346
0,78,168,629423,897626
0,23,123,136274,525410
0,34,228,604440,677898
0,31,69,616846,37447
0,44,200,121089,662417
0,99,255,934197,705363
0,0,211,1423,334996
1,97,23,766034,157387
0,84,40,438681,710143
1,73,52,650857,216780
0,65,101,496858,268855
0,73,69,298328,849044
0,68,36,155886,612408
1,14,68,176259,572367
1,48,139,268782,979358
0,0,9,279029,544165
0,16,47,556188,823623
0,15,117,165934,920069
1,36,218,651623,968541
1,88,233,664902,575274
0,61,182,334865,633062
1,70,48,924262,330513
0,21,285,827137,170880
0,64,180,915867,377582
1,89,240,433486,766420
1,75,249,84436,636612
1,69,263,864335,801479
0,1,212,494429,76975
1,64,41,534110,278152
0,49,102,701998,861817
1,29,197,349294,535678
0,76,55,743826,504831
1,43,6,34882,571406
0,4,4,252639,450749
0,19,80,340086,916520
0,37,48,662526,398870
0,71,24,610683,407280
0,71,265,391921,651233
1,46,275,617795,124789
1,47,14,657967,71997
0,85,113,199342,481760
0,42,151,323913,399050
0,61,278,344499,853631
0,7,253,551002,222336
1,13,13,579830,605883
1,96,53,562628,62966
0,28,12,285432,728229
1,84,95,104356,39892
1,44,277,225784,822764
0,99,131,702918,185645
0,11,161,909651,496866
1,35,252,670642,221034
1,37,181,550145,747972
1,31,161,854844,785797
1,89,82,986020,446802
0,18,158,37314,369673
1,8,245,587144,758143
0,2,194,63370,816366
0,93,45,383408,580036
1,22,280,969780,77752
0,35,47,338590,805073
0,32,137,217768,175104
1,20,176,334797,348806
0,62,134,424192,512021
0,90,289,917493,649438
1,4,300,936330,131231
1,40,171,37585,626065
0,1,23,680431,943884
0,81,264,624330,1469
1,77,128,875390,114310
0,64,102,442286,694023
1,20,96,731440,246743
0,34,48,895528,618525
0,3,138,92667,890824
1,41,228,669493,880987
0,38,74,160516,557699
0,52,28,961818,903719
0,83,132,662832,400879
0,60,181,19660,250286
0,23,67,565236,422191
1,75,204,5187,283612
0,90,149,846154,576622
1,54,212,353187,368296
1,99,285,204806,815769
1,10,57,684671,724276
1,55,221,471659,515332
0,55,61,184588,940938
0,68,81,937093,206391
0,95,100,538359,684087
1,26,196,564494,860947
0,8,133,261535,110641
1,8,234,200561,532740
1,29,64,364800,368235
0,94,36,44837,243985
1,92,23,906146,609660
1,10,120,195364,585899
1,83,213,314937,957017
0,71,74,696520,563349
0,97,14,448624,807344
0,93,99,995717,317392
0,77,134,761163,626989
0,97,233,600305,646563
1,21,57,378423,102712
1,96,188,613560,250420
1,2,78,878392,742716
0,20,219,536242,676030
1,64,224,143648,304615
0,96,177,160905,492803
1,49,57,243998,994063
0,50,200,72077,850608
0,78,293,144702,843520
1,69,255,53195,957296
1,88,33,114525,135245
1,5,174,506577,355474
1,94,222,108817,964795
0,51,286,422070,36588
0,86,17,549591,616162
1,75,291,302033,355461
0,37,211,496525,345126
1,7,258,759277,420471
1,23,250,527090,863393
0,62,57,180856,864719
1,29,172,647362,474115
1,85,7,214944,956824
1,99,137,328965,993321
1,9,100,837050,478739
0,62,175,272957,670139
0,57,192,249818,666911
1,68,94,460644,229616
0,8,167,91737,221981
1,44,3,434715,378149
1,84,209,336388,599681
1,25,35,232203,1028
1,2,41,425051,470885
0,39,184,653463,313274
1,27,267,214901,785067
0,58,243,246840,950369
0,19,235,715437,488083
1,24,225,381885,809565
0,34,124,43625,647001
0,25,187,38413,340693
0,71,125,62097,80719
1,78,66,381209,957396
1,38,68,890183,605011
0,77,140,767752,256404
1,24,85,418009,934613
1,44,76,666551,262893
1,55,143,687663,330757
0,3,168,367219,460577
0,94,298,384173,836401
1,78,0,260870,396544
1,63,175,598647,435514
1,74,179,861458,656269
1,63,244,637206,2185
1,27,231,364498,310825
0,57,79,368998,432447
0,61,227,196941,89043
1,89,262,157942,532104
1,39,10,93349,450541
0,26,212,791635,947640
1,1,42,551378,678902
1,97,134,782387,120247
1,17,49,47254,243829
1,45,97,984541,331705
0,71,131,817304,884992
0,72,239,22403,501474
0,52,72,515082,549115
1,10,88,275484,755705
1,44,105,404857,459310
0,96,194,966169,143826
1,27,291,270054,889481
0,1,69,442334,282634
1,98,146,301083,778466
1,84,60,959211,977998
0,98,62,161930,176067
0,100,166,881471,972031
1,84,119,752996,493781
0,41,235,398384,377978
1,69,169,521027,50062
1,7,182,59025,892639
0,29,167,619501,948579
0,100,200,152245,512540
0,61,106,718683,71807
0,79,260,767428,63701
1,25,107,617741,970804
0,45,215,665402,962225
0,11,73,376711,194347
0,59,84,76545,852794
0,61,15,228995,476284
1,44,262,972277,719486
1,21,132,470745,865725
0,3,124,495705,651082
1,50,211,292960,58082
1,88,30,365838,867676
0,32,145,165965,422787
0,83,36,294433,728360
1,16,116,994997,475538
1,22,24,589072,828489
0,17,287,734542,945291
1,73,227,335707,718188
1,56,186,45256,647039
1,55,152,919176,181483
0,21,16,193478,532260
0,74,85,689299,213363
1,44,111,974918,599851
0,14,273,442105,269093
1,89,112,479468,25703
0,95,129,268214,936871
1,32,215,749454,698675
0,67,75,284868,365153
1,93,201,568008,185069
1,0,270,165375,848057
0,13,9,983975,415484
1,12,63,684198,220151
1,9,27,720779,776360
1,7,101,126735,280151
1,25,191,757191,540560
1,4,82,570059,990271
1,80,201,941928,309532
1,86,2,837932,671810
0,77,180,975479,440594
0,2,115,724723,530163
1,88,18,578028,241824
0,76,184,660938,260468
0,0,2,366926,444734
0,30,232,256431,260969
0,84,31,152899,70542
0,53,29,683436,449697
0,48,2,492077,11606
0,47,223,283506,755680
0,49,219,288611,830714
0,4,240,388217,397028
1,2,291,649879,185744
0,63,197,261107,260907
1,45,169,78670,966709
1,11,135,957792,611346
0,53,205,743993,119166
1,68,170,8618,94031
0,24,80,106691,952929
1,56,213,486779,137535
1,25,100,192844,37492
0,28,60,353787,902368
1,58,201,191677,786212
1,64,287,933591,557342
1,97,145,606871,568821
0,70,85,672766,924740
1,48,0,70321,32284
0,22,103,342126,431485
1,17,47,691461,184832
1,49,108,990120,302440
1,82,131,646945,131450
0,2,47,710434,850779
1,6,4,162840,68989
0,90,21,278101,845657
1,56,124,349221,121582
0,15,261,495171,184432
0,84,221,453663,774374
0,37,190,680391,291640
1,86,235,862845,40771
1,57,139,292274,1306
1,14,117,678137,70077
0,71,37,464069,933831
1,29,153,15144,93235
1,68,32,228375,497276
1,32,233,209165,920240
1,78,29,564927,128774
0,96,69,992275,227044
0,6,289,745313,372749
1,32,170,455068,96096
1,81,61,461596,883187
0,98,149,474193,657117
1,75,273,424412,534298
0,100,288,587846,361140
1,74,248,991317,974140
1,70,153,199764,467701
1,76,60,47257,246054
1,69,188,728445,680513
1,63,28,747637,480672
0,29,54,704514,278289
0,33,236,333264,135557
0,60,278,471947,948710
1,77,261,975109,620864
1,5,15,758790,478473
1,10,220,676451,80224
1,51,145,256700,27413
1,41,179,952090,256440
0,99,33,676691,390545
0,84,211,901984,436289
0,29,190,160546,349339
1,58,214,537379,412514
0,48,0,996020,670710
1,79,149,201605,24819
0,71,182,180381,238476
1,55,202,805357,447814
0,21,261,879463,710061
1,14,251,132079,236472
0,6,205,524869,164638
0,93,285,856067,42800
0,95,58,691213,175664
1,84,77,843624,503671
1,14,299,486277,375455
0,18,266,547713,492175
1,8,190,206337,780544
0,71,34,37653,461610
0,27,47,68065,739623
1,68,166,96254,629735
0,24,233,790579,815587
0,91,228,69823,70950
0,83,233,905453,469276
1,93,283,33815,979091
0,27,255,743659,238987
0,62,74,950878,351568
1,91,57,406026,101035
1,75,116,124450,998257
0,16,188,578984,160235
1,97,156,904013,929560
1,43,219,773755,387035
1,63,195,275409,281398
0,1,221,541095,481983
1,60,59,859516,108439
1,66,7,338644,346670
1,86,43,835703,725812
0,79,274,830447,882022
1,81,29,140990,152220
1,81,211,524690,309990
1,17,257,631688,21223
1,27,191,496852,105691
0,31,27,822968,892143
1,57,57,69555,997654
0,37,141,855311,993600
1,17,293,215887,976401
1,21,215,350219,644627
1,90,292,463172,615104
1,44,124,912829,19954
0,15,255,136636,491638
0,4,117,707374,945645
0,1,119,940169,636004
1,60,162,570862,488372
1,35,201,314957,396471
0,43,284,148511,904742
1,22,161,851441,97128
1,8,237,789094,802833
1,42,298,759084,392144
1,86,97,173109,640149
0,83,46,425222,133635
1,65,172,382579,395305
1,15,4,792913,16735
1,73,223,966900,96931
1,99,278,711242,507613
0,10,174,930510,451756
1,1,63,433635,184534
0,68,148,499631,691793
1,32,261,573648,619003
1,62,201,190857,365654
0,99,122,912566,896432
0,18,254,55163,877703
1,4,197,713877,500786
1,20,209,987071,440929
0,82,46,681859,155550
0,13,281,494205,280104
0,7,229,570491,406813
1,95,206,235656,975689
1,53,252,84771,212782
0,14,185,435505,772327
0,96,222,939768,25383
0,14,220,289013,693586
1,52,196,529,615473
1,96,173,804072,682537
0,13,238,337822,115971
1,85,296,61685,98881
1,51,41,291526,401859
0,73,192,212873,521038
0,29,259,131415,895443
0,12,199,217227,888293
0,50,214,966804,206799
0,81,285,344079,638929
1,45,300,766368,66264
1,42,14,839369,39599
1,3,76,369084,858177
1,35,10,56349,560262
1,68,13,356658,771719
0,87,282,108980,651356
0,94,214,157489,983500
1,47,42,212383,632181
0,100,78,524714,482261
1,77,216,837071,408367
0,84,265,16819,263688
0,46,112,764890,461589
1,1,179,599463,141562
0,94,11,777491,210136
0,95,282,120188,242946
0,66,21,540759,7324
1,68,209,495984,392307
1,61,131,914937,562804
0,91,51,672843,868008
1,25,280,402679,949744
1,60,277,579464,520262
0,88,251,417862,792650
0,65,190,929166,757533
0,14,90,510913,704211
1,51,47,804962,261464
1,50,117,517679,128687
0,49,59,723080,447062
0,55,292,751829,653370
1,14,171,181913,845277
1,61,69,515652,137546
1,36,85,598079,133301
0,89,294,641183,47605
0,100,234,62878,679200
1,89,201,786666,641610
1,21,261,773145,832339
1,63,43,769015,528644
0,63,6,887637,215995
1,95,268,148951,538138
0,95,204,108902,900419
0,39,190,38321,741005
1,79,278,665563,256595
0,12,211,857596,270035
0,49,112,817954,131185
